Model,Provider,Task,Parameters,gpu_energy,Latency,Accuracy,kg_co2_per_kwh,Score
distilgpt2,distilbert,Text Generation,82000000,1.31,,42,0.4585,★★★★★
opt-125m,facebook,Text Generation,0,1.94,,30.5,0.679,★★★★★
gpt2,openai-community,Text Generation,137000000,2.15,,45.99,0.7525,★★★★★
openai-gpt,openai-community,Text Generation,120000000,2.7,,59,0.945,★★★★★
gpt2-medium,openai-community,Text Generation,380000000,3.96,,55.48,1.386,★★★★★
OLMo-1B-hf,allenai,Text Generation,1180000000,5.59,,52,1.9565,★★★★★
gpt2-large,openai-community,Text Generation,812000000,6.12,,60.1,2.142,★★★★★
phi-1_5,microsoft,Text Generation,1420000000,6.29,,61,2.2015,★★★★★
phi-1,microsoft,Text Generation,1420000000,6.39,,58.5,2.2365,★★★★★
SmolLM-135M,HuggingFaceTB,Text Generation,135000000,7.28,,37,2.548,★★★★
SmolLM-1.7B,HuggingFaceTB,Text Generation,1710000000,7.64,,56,2.674,★★★★
SmolLM2-1.7B-Instruct,HuggingFaceTB,Text Generation,1710000000,7.71,,57.5,2.6985,★★★★
opt-2.7b,facebook,Text Generation,0,8.06,,62,2.821,★★★★
SmolLM-360M,HuggingFaceTB,Text Generation,362000000,8.1,,42,2.835,★★★★
gemma-2b,google,Text Generation,2510000000,8.68,,58,3.038,★★★★
gpt2-xl,openai-community,Text Generation,1610000000,8.92,,64.3,3.122,★★★★
phi-2,microsoft,Text Generation,2780000000,9.86,,66,3.451,★★★★
falcon-7b,tiiuae,Text Generation,7220000000,15.88,,67.5,5.558,★★★
Llama-2-7b-hf,meta-llama,Text Generation,6740000000,16.44,,68,5.754,★★★
OLMo-1.7-7B-hf,allenai,Text Generation,6890000000,16.83,,67,5.8905,★★★
Meta-Llama-3-8B,meta-llama,Text Generation,8030000000,17.33,,69.2,6.0655,★★★
Meta-Llama-3.1-8B,meta-llama,Text Generation,8030000000,17.38,,70,6.083,★★★
aya-23-8B,CohereForAI,Text Generation,8030000000,17.82,,67.5,6.237,★★
gemma-2-2b-it,google,Text Generation,2610000000,18.64,,61,6.524,★★
gemma-7b,google,Text Generation,8540000000,18.9,,68.3,6.615,★★
Starling-LM-7B-alpha,berkeley-nest,Text Generation,7240000000,19.01,,69.5,6.6535,★★
Mistral-7B-v0.1,mistralai,Text Generation,7240000000,19.13,,70.1,6.6955,★★
xLAM-7b-r,Salesforce,Text Generation,7240000000,19.17,,69,6.7095,★★
Ministral-8B-Instruct-2410,mistralai,Text Generation,8020000000,20.87,,71.2,7.3045,★★
Yi-1.5-9B,01-ai,Text Generation,8830000000,23,,72,8.05,★★
Llama-2-13b-hf,meta-llama,Text Generation,13000000000,26.1,,72.8,9.135,★
phi-4,microsoft,Text Generation,14700000000,28.74,,74.3,10.059,★
,,,,,,,,
mitsua-diffusion-one,Mitsua,Image Generation,,186.81,,31.67,65.3835,★★★★★
Counterfeit-V2.5,gsdf,Image Generation,,187.37,,26.33,65.5795,★★★★★
sd-turbo,stabilityai,Image Generation,,189.86,,66,66.451,★★★★★
openjourney,prompthero,Image Generation,,196.88,,55,68.908,★★★★★
openjourney-v4,prompthero,Image Generation,,203.37,,57.33,71.1795,★★★★★
LCM_Dreamshaper_v7,SimianLuo,Image Generation,,322.04,,68,112.714,★★★★★
sdxl-turbo,stabilityai,Image Generation,,385.57,,70.67,134.9495,★★★★★
stable-diffusion-2-1,stabilityai,Image Generation,,534.47,,56.67,187.0645,★★★★
dreamlike-photoreal-2.0,dreamlike-art,Image Generation,,581.33,,65,203.4655,★★★★
epiCPhotoGasm,Yntec,Image Generation,,586.57,,60.67,205.2995,★★★★
stable-cascade,stabilityai,Image Generation,,"1,214.36",,69.33,425.026,★★
stable-diffusion-xl-base-1.0,stabilityai,Image Generation,,"1,639.85",,75,573.9475,★
,,,,,,,,
distilbert-imdb,lvwerra,Text Classification,,0.22,,89.9,0.077,★★★★★
distilbert-base-uncased-finetuned-sst-2-english,distilbert,Text Classification,67000000,0.22,,92.3,0.077,★★★★★
distilbert-base-multilingual-cased-sentiments-student,lxyuan,Text Classification,135000000,0.22,,91,0.077,★★★★★
electra-base-emotion,bhadresh-savani,Text Classification,,0.25,,91.95,0.0875,★★★★★
gpt2-imdb-sentiment-classifier,mnoukhov,Text Classification,,0.32,,87,0.112,★★★★★
bert-base-multilingual-uncased-sentiment,nlptown,Text Classification,167000000,0.36,,,0.126,★★★★★
gpt2-medium-finetuned-sst2-sentiment,michelecafagna26,Text Classification,,0.8,,94,0.28,★★★★★
bert-large-sst2,Cheng98,Text Classification,,0.92,,94.9,0.322,★★★★★
t5-small,google-t5,Text Classification,60500000,2.22,,85,0.777,★★★★★
t5-base,google-t5,Text Classification,223000000,4.13,,90,1.4455,★★★★★
t5-large,google-t5,Text Classification,738000000,7.92,,92,2.772,★★★★
t5-3b,google-t5,Text Classification,2850000000,11.68,,94,4.088,★★★
t5-11b,google-t5,Text Classification,,27.79,,95,9.7265,★
,,,,,,,,
resnet-18,microsoft,Image Classification,11700000,0.3,,69.8,0.105,★★★★★
vit-tiny-patch16-224,WinKawaks,Image Classification,5720000,0.38,,72.2,0.133,★★★★★
resnet-50,microsoft,Image Classification,25600000,0.39,,76,0.1365,★★★★★
mobilenet_v2_1.0_224,google,Image Classification,3540000,0.41,,71.8,0.1435,★★★★★
convnext-tiny-224,facebook,Image Classification,,0.45,,82.1,0.1575,★★★★★
mobilevit-small,apple,Image Classification,,0.51,,78.4,0.1785,★★★★★
vit-base-patch16-224,google,Image Classification,86600000,0.58,,81.8,0.203,★★★★★
beit-base-patch16-224,microsoft,Image Classification,87000000,0.74,,83.2,0.259,★★★★★
vit-base-patch32-384,google,Image Classification,88300000,0.76,,81.6,0.266,★★★★★
swinv2-tiny-patch4-window8-256,microsoft,Image Classification,,0.77,,83.5,0.2695,★★★★
beit-base-patch16-224-pt22k-ft22k,microsoft,Image Classification,,0.78,,85.2,0.273,★★★★
bit-50,google,Image Classification,,0.83,,83.3,0.2905,★★★★
swinv2-tiny-patch4-window16-256,microsoft,Image Classification,,0.85,,83.5,0.2975,★★★★
convnext-large-224,facebook,Image Classification,,0.97,,85.8,0.3395,★★★★
vit-base-patch16-384,google,Image Classification,86900000,0.99,,82.5,0.3465,★★★★
convnext-base-384-22k-1k,facebook,Image Classification,,1.12,,85.3,0.392,★★★★
vit-large-patch32-384,google,Image Classification,,1.16,,85.2,0.406,★★★★
swinv2-large-patch4-window12-192-22k,microsoft,Image Classification,,1.29,,86.1,0.4515,★★★
swinv2-large-patch4-window12-192-22k,microsoft,Image Classification,,1.39,,86.1,0.4865,★★★
